Analogy,Analoji/Benzerlik,The teacher used an analogy to explain the concept.,Öğretmen kavramı açıklamak için bir analoji kullandı.
Analyst,Analist,The financial analyst predicted a market crash.,Finansal analist bir piyasa çöküşü öngördü.
Ancestor,Ata/Soy,His ancestors came from Ireland.,Ataları İrlanda'dan gelmişti.
Anchor,Çapa/Demir atmak,The ship dropped anchor in the bay.,Gemi koyda demir attı.
Animated,Canlı/Hareketli,We had an animated discussion about politics.,Siyaset hakkında canlı bir tartışma yaptık.
Announcement,Duyuru/İlan,Please listen to this important announcement.,Lütfen bu önemli duyuruyu dinleyin.
Annoyance,Rahatsızlık/Kızgınlık,He looked at me with annoyance.,Bana rahatsızlıkla baktı.
Anticipation,Beklenti/Seziş,We waited in anticipation for the results.,Sonuçları beklenti içinde bekledik.
Antique,Antika,This antique table is very valuable.,Bu antika masa çok değerlidir.
Anyhow,Her neyse/Neyse,Anyhow we must finish this job today.,Her neyse bu işi bugün bitirmeliyiz.
Apology,Özür,I owe you an apology for being late.,Geç kaldığım için sana bir özür borçluyum.
Appalling,Korkunç/Dehşet verici,The conditions in the prison were appalling.,Hapishanedeki koşullar korkunçtu.
Apparatus,Aygıt/Cihaz,The divers used breathing apparatus underwater.,Dalgıçlar su altında solunum cihazı kullandılar.
Apparel,Giyim/Kıyafet,They sell sports apparel for men and women.,Erkekler ve kadınlar için spor kıyafetleri satıyorlar.
Appetite,İştah,Exercise gives me a good appetite.,Egzersiz bana iyi bir iştah verir.
Appetizer,Meze/Başlangıç,We ordered nachos as an appetizer.,Başlangıç olarak nachos sipariş ettik.
Applaud,Alkışlamak,The audience stood up to applaud the actor.,Seyirci aktörü alkışlamak için ayağa kalktı.
Applause,Alkış,He received loud applause from the crowd.,Kalabalıktan büyük bir alkış aldı.
Applicable,Uygulanabilir,This rule is not applicable in this case.,Bu kural bu durumda uygulanabilir değildir.
Applicant,Başvuru sahibi,The successful applicant will start next week.,Başarılı başvuru sahibi gelecek hafta başlayacak.
Appraisal,Değerlendirme/Kıymet takdiri,She had a performance appraisal with her boss.,Patronuyla bir performans değerlendirmesi yaptı.
Appreciable,Hissedilir/Önemli,There is no appreciable difference between them.,Aralarında hissedilir bir fark yok.
Apprehend,Yakalamak/Kavramak,The police failed to apprehend the suspect.,Polis şüpheliyi yakalamakta başarısız oldu.
Arbitrary,Keyfi/Rastgele,The decision seemed completely arbitrary to me.,Karar bana tamamen keyfi göründü.
Arc,Yay/Kavis,The ball flew in a high arc.,Top yüksek bir kavisle uçtu.
Arch,Kemer (Yapı),We walked under the stone arch.,Taş kemerin altından yürüdük.
Archaeology,Arkeoloji,He is studying archaeology at the university.,Üniversitede arkeoloji okuyor.
Archive,Arşiv,Old documents are kept in the archive.,Eski belgeler arşivde tutulur.
Arctic,Kuzey Kutbu,Polar bears live in the Arctic region.,Kutup ayıları Kuzey Kutbu bölgesinde yaşar.
Ardent,Ateşli/Gayretli,He is an ardent supporter of the team.,O takımın ateşli bir destekçisidir.
Arena,Arena/Alan,Politics is a tough arena to enter.,Siyaset girmek için zorlu bir arenadır.
Aristocrat,Aristokrat/Soylu,He behaves like an aristocrat.,Bir aristokrat gibi davranıyor.
Arithmetic,Aritmetik,Basic arithmetic is essential for daily life.,Temel aritmetik günlük yaşam için gereklidir.
Armor,Zırh,The knight wore heavy metal armor.,Şövalye ağır metal zırh giydi.
Aroma,Aroma/Koku,The aroma of coffee filled the room.,Kahvenin aroması odayı doldurdu.
Arouse,Uyandırmak/Tahrik etmek,His strange behavior aroused my suspicion.,Tuhaf davranışları şüphemi uyandırdı.
Arrangement,Düzenleme/Anlaşma,We came to an arrangement regarding the price.,Fiyat konusunda bir anlaşmaya vardık.
Array,Dizi/Sıra,There was a vast array of food options.,Geniş bir yiyecek seçeneği dizisi vardı.
Arrogant,Kibirli,He is too arrogant to admit his mistake.,Hatasını kabul edemeyecek kadar kibirli.
Arrow,Ok,Follow the arrow to find the exit.,Çıkışı bulmak için oku takip et.
Articulate,Açıkça ifade etmek,She can articulate her thoughts very well.,Düşüncelerini çok iyi ifade edebilir.
Artifact,Eser (Tarihi),The museum displays ancient artifacts.,Müze antik eserleri sergiliyor.
Ascend,Yükselmek/Çıkmak,The plane ascended into the clouds.,Uçak bulutların içine doğru yükseldi.
Aspiration,Özlem/Büyük amaç,He has aspirations to become a writer.,Yazar olma özlemleri var.
Aspire,İstemek/Amaçlamak,She aspires to lead the company one day.,Bir gün şirketi yönetmeyi amaçlıyor.
Assassinate,Suikast yapmak,The president was assassinated yesterday.,Başkan dün suikasta uğradı.
Assault,Saldırı/Saldırmak,He was charged with physical assault.,Fiziksel saldırı ile suçlandı.
Assembly,Montaj/Toplantı,The assembly line moves very fast.,Montaj hattı çok hızlı hareket eder.
Assert,İleri sürmek/İddia etmek,He asserted his innocence repeatedly.,Masumiyetini defalarca ileri sürdü.
Assessment,Değerlendirme,The tax assessment arrives next week.,Vergi değerlendirmesi gelecek hafta geliyor.
Asset,Varlık/Değerli şey,Good health is our greatest asset.,İyi sağlık en büyük varlığımızdır.
Assignment,Ödev/Görev,I have to finish this assignment tonight.,Bu ödevi bu gece bitirmek zorundayım.
Assimilate,Özümsemek/Benimsemek,It takes time to assimilate new information.,Yeni bilgiyi özümsemek zaman alır.
Assistance,Yardım/Destek,Thank you for your valuable assistance.,Değerli yardımınız için teşekkür ederim.
Assistant,Asistan/Yardımcı,My assistant will schedule the meeting.,Asistanım toplantıyı planlayacak.
Association,Dernek/İlişki,He has a long association with the college.,Kolejle uzun bir ilişkisi var.
Assorted,Çeşitli/Karışık,A box of assorted chocolates.,Bir kutu karışık çikolata.
English,Turkish,EnSample,TrSample
Assume,Varsaymak/Üstlenmek,I assume you have read the report thoroughly.,Raporu iyice okuduğunuzu varsayıyorum.
Assurance,Güvence/Teminat,He gave me his assurance that the work would be done.,İşin yapılacağına dair bana güvence verdi.
Astonish,Şaşırtmak,The magician's tricks continued to astonish the audience.,Sihirbazın numaraları seyirciyi şaşırtmaya devam etti.
Asylum,Sığınma/İltica,The refugees applied for political asylum in France.,Mülteciler Fransa'ya siyasi sığınma talebinde bulundular.
Atmosphere,Atmosfer/Ortam,The restaurant has a very relaxed and friendly atmosphere.,Restoranın çok rahat ve samimi bir atmosferi var.
Attach,Eklemek/İliştirmek,Please attach a copy of your ID to the form.,Lütfen kimliğinizin bir kopyasını forma ekleyin.
Attain,Elde etmek/Ulaşmak,She worked hard to attain her current position.,Mevcut konumuna ulaşmak için çok çalıştı.
Attempt,Girişim/Teşebbüs,This is his second attempt to break the record.,Bu onun rekoru kırmak için ikinci girişimi.
Attendance,Katılım,Attendance at the meeting is mandatory for all staff.,Toplantıya katılım tüm personel için zorunludur.
Attorney,Avukat (Dava vekili),He hired a defense attorney to represent him in court.,Mahkemede onu temsil etmesi için bir savunma avukatı tuttu.
Attribute,Atfetmek/Dayandırmak,Experts attribute the warming trend to human activity.,Uzmanlar ısınma eğilimini insan faaliyetlerine dayandırıyor.
Auction,Açık artırma,The painting was sold at an auction for millions.,Tablo bir açık artırmada milyonlara satıldı.
Audible,Duyulabilir,His voice was barely audible above the noise.,Sesi gürültünün üzerinde zar zor duyulabiliyordu.
Audit,Denetim,The company faces an annual financial audit.,Şirket yıllık bir mali denetimle karşı karşıya.
Authentic,Otantik/Hakiki,This restaurant serves authentic Italian cuisine.,Bu restoran hakiki İtalyan mutfağı sunuyor.
Authorize,Yetki vermek,Who authorized this transaction without my permission?,İznim olmadan bu işleme kim yetki verdi?
Autobiography,Otobiyografi,He is writing an autobiography about his political career.,Siyasi kariyeri hakkında bir otobiyografi yazıyor.
Automated,Otomatikleştirilmiş,We use an automated system to track orders.,Siparişleri takip etmek için otomatikleştirilmiş bir sistem kullanıyoruz.
Autonomy,Özerklik,Universities enjoy a high degree of autonomy.,Üniversiteler yüksek derecede özerkliğe sahiptir.
Availability,Müsaitlik/Bulunabilirlik,Check the availability of flights before booking.,Rezervasyon yapmadan önce uçuşların müsaitliğini kontrol edin.
Await,Beklemek (Resmi),A surprise awaits you in the living room.,Oturma odasında sizi bir sürpriz bekliyor.
Award,Ödül/Ödüllendirmek,The jury awarded him the first prize.,Jüri onu birincilik ödülüyle ödüllendirdi.
Awareness,Farkındalık,We need to raise awareness about climate change.,İklim değişikliği hakkında farkındalık yaratmamız gerekiyor.
Awkward,Garip/Beceriksiz,There was an awkward silence after his comment.,Yorumundan sonra garip bir sessizlik oldu.
Bachelor,Bekar erkek/Lisans,He has a bachelor degree in computer science.,Bilgisayar bilimleri alanında lisans derecesi var.
Backdrop,Arka plan/Zemin,The mountains provided a stunning backdrop for the photo.,Dağlar fotoğraf için çarpıcı bir arka plan sağladı.
Background,Arka plan/Geçmiş,The candidate has a strong background in finance.,Adayın finans alanında güçlü bir geçmişi var.
Backup,Yedek/Destek,Always make a backup of your important files.,Önemli dosyalarınızın her zaman bir yedeğini alın.
Bacteria,Bakteri,Antibiotics are used to kill harmful bacteria.,Antibiyotikler zararlı bakterileri öldürmek için kullanılır.
Badge,Rozet/Nişan,All employees must wear their identification badge.,Tüm çalışanlar kimlik rozetlerini takmalıdır.
Baffle,Şaşırtmak/Kafasını karıştırmak,The complexity of the puzzle baffled the experts.,Bulmacanın karmaşıklığı uzmanları şaşırttı.
Bail,Kefalet,The judge released him on bail.,Yargıç onu kefaletle serbest bıraktı.
Bait,Yem/Tuzak,Fishermen use worms as bait to catch fish.,Balıkçılar balık yakalamak için yem olarak solucan kullanır.
Balance,Dengelemek/Bakiye,You must balance your work and personal life.,İş ve özel hayatınızı dengelemelisiniz.
Ballot,Oy pusulası,Cast your ballot in the box provided.,Oy pusulanızı sağlanan kutuya atın.
Ban,Yasaklamak,The city banned cars from the center.,Şehir merkezde arabaları yasakladı.
Bandage,Sargı bezi/Bandaj,The nurse wrapped a bandage around his injured arm.,Hemşire yaralı koluna bir sargı bezi sardı.
Bankrupt,İflas etmiş,The company went bankrupt during the recession.,Şirket durgunluk sırasında iflas etti.
Bankruptcy,İflas,He declared bankruptcy after losing his business.,İşini kaybettikten sonra iflasını ilan etti.
Banner,Pankart/Afiş,Protesters carried a banner asking for peace.,Protestocular barış isteyen bir pankart taşıdılar.
Banquet,Ziyafet,The president hosted a state banquet.,Başkan bir devlet ziyafeti verdi.
Bare,Çıplak/Yalın,The room was bare except for a bed.,Oda bir yatak dışında çıplaktı (boştu).
Barely,Zar zor/Ancak,We barely managed to catch the last train.,Son treni zar zor yakalamayı başardık.
Bargain,Pazarlık/Kelepir,This coat was a real bargain at that price.,Bu palto o fiyata gerçek bir kelepirdi.
Barrel,Varil/Namlu,The price of a barrel of oil increased.,Bir varil petrolün fiyatı arttı.
Barren,Çorak/Verimsiz,The land was barren and dry.,Arazi çorak ve kuruydu.
Barrier,Engel,Language should not be a barrier to friendship.,Dil arkadaşlığa bir engel olmamalıdır.
Base,Dayandırmak/Üs,The film is based on a true story.,Film gerçek bir hikayeye dayanıyor.
Basement,Bodrum katı,We store old furniture in the basement.,Eski mobilyaları bodrum katında saklıyoruz.
Basis,Temel/Esas,Decisions are made on a case-by-case basis.,Kararlar vaka bazında (esasında) verilir.
Batch,Parti/Grup,The first batch of products is ready.,Ürünlerin ilk partisi hazır.
Battalion,Tabur,The battalion marched towards the front line.,Tabur cephe hattına doğru yürüdü.
Battery,Pil/Batarya,My laptop battery needs to be charged.,Dizüstü bilgisayarımın pilinin şarj edilmesi gerekiyor.
Battle,Savaş/Mücadele,She is fighting a long battle against cancer.,Kansere karşı uzun bir savaş veriyor.
Bay,Koy/Körfez,The boat anchored in a quiet bay.,Tekne sessiz bir koya demir attı.
Beam,Kiriş/Işın,A beam of sunlight shone through the window.,Pencereden bir güneş ışını parladı.
Bear,Katlanmak/Taşımak,I cannot bear to see him suffer.,Onun acı çekmesini görmeye katlanamıyorum.
Beast,Canavar/Hayvan,Beauty and the Beast is a classic tale.,Güzel ve Çirkin klasik bir masaldır.
Beat,Yenmek/Vurmak,Our team beat the champions yesterday.,Takımımız dün şampiyonları yendi.
Behalf,Adına,I am signing this on behalf of my manager.,Bunu müdürüm adına imzalıyorum.
Behavior,Davranış,His behavior towards his colleagues was unprofessional.,İş arkadaşlarına karşı davranışı profesyonelce değildi.
Belief,İnanç/Kanı,It is my belief that education changes lives.,Eğitimin hayatları değiştirdiğine inancım tamdır.
Belongings,Eşyalar,Please make sure you take all your belongings.,Lütfen tüm eşyalarınızı aldığınızdan emin olun.
Beloved,Sevgili/Sevilen,He was a beloved leader of his people.,Halkının sevilen bir lideriydi.
Bench,Bank/Tezgah,We sat on a bench in the park.,Parkta bir bankta oturduk.
Benchmark,Kriter/Ölçüt,This product sets a new benchmark for quality.,Bu ürün kalite için yeni bir ölçüt belirliyor.
Bend,Eğmek/Bükmek,The road bends sharply to the left.,Yol keskin bir şekilde sola bükülüyor.
Beneath,Altında (Resmi),The metro runs beneath the city streets.,Metro şehir sokaklarının altında çalışır.
Beneficial,Faydalı,Regular exercise is beneficial for your health.,Düzenli egzersiz sağlığınız için faydalıdır.
Beneficiary,Lehtar/Yararlanan,He is the main beneficiary of the will.,Vasiyetin ana lehtarı odur.
Benefit,Yarar/Fayda,Employees enjoy many benefits including health insurance.,Çalışanlar sağlık sigortası dahil birçok faydadan yararlanır.
Betray,İhanet etmek,He would never betray his country.,Ülkesine asla ihanet etmezdi.
Beverage,İçecek,Hot beverages are served in the lobby.,Lobide sıcak içecekler servis edilmektedir.
Bewilder,Şaşırtmak/Sersemletmek,The complex instructions completely bewildered me.,Karmaşık talimatlar beni tamamen şaşırttı.
Bias,Önyargı,We must avoid bias when selecting candidates.,Adayları seçerken önyargıdan kaçınmalıyız.
Bid,Teklif (İhale),The company made a bid for the contract.,Şirket sözleşme için bir teklif verdi.
Bigot,Yobaz/Bağnaz,He is a bigot who refuses to accept others.,Başkalarını kabul etmeyi reddeden bir yobazdır.
Bilateral,İki taraflı,The two countries signed a bilateral agreement.,İki ülke iki taraflı bir anlaşma imzaladı.
Bilingual,İki dilli,Being bilingual is an asset in today's world.,İki dilli olmak günümüz dünyasında bir varlıktır.
Bill,Yasa tasarısı/Fatura,The senate passed the new education bill.,Senato yeni eğitim tasarısını kabul etti.
Billion,Milyar,The project cost over a billion dollars.,Proje bir milyar dolardan fazlaya mal oldu.
Bin,Kutu/Çöp kutusu,Please throw your waste in the bin.,Lütfen atığınızı çöp kutusuna atın.
Bind,Bağlamak/Ciltlemek,This contract binds both parties legally.,Bu sözleşme her iki tarafı da yasal olarak bağlar.
Biography,Biyografi,I am reading a biography of Winston Churchill.,Winston Churchill'in bir biyografisini okuyorum.
Biological,Biyolojik,He is searching for his biological parents.,Biyolojik ebeveynlerini arıyor.
Bizarre,Tuhaf/Acayip,It was a bizarre situation that no one understood.,Kimsenin anlamadığı tuhaf bir durumdu.
Blackmail,Şantaj,He was arrested for trying to blackmail the mayor.,Belediye başkanına şantaj yapmaya çalışmaktan tutuklandı.
Blade,Bıçak ağzı/Kanat,The blade of the sword was very sharp.,Kılıcın ağzı çok keskindi.
Blame,Suçlamak,Do not blame yourself for the accident.,Kaza için kendini suçlama.
Bland,Yavan/Tatsız,The food was bland and lacked flavor.,Yemek yavandı ve lezzetten yoksundu.
Blanket,Battaniye/Kapsamak,A blanket of snow covered the ground.,Yeri bir kar battaniyesi kapladı.
Blast,Patlama/Büyük eğlence,The explosion caused a massive blast.,Patlama büyük bir şok dalgasına (patlamaya) neden oldu.
Bleed,Kanamak,If the wound continues to bleed seek help.,Yara kanamaya devam ederse yardım isteyin.
Blend,Karışım/Harmanlamak,This coffee is a blend of two beans.,Bu kahve iki çekirdeğin bir harmanıdır.
Bless,Kutsamak,May God bless you and your family.,Tanrı sizi ve ailenizi kutsasın.
Blind,Kör/Görmezden gelmek,Love is blind to faults.,Aşk kusurlara karşı kördür.
Block,Engellemek/Blok,The police blocked the road after the accident.,Kazadan sonra polis yolu engelledi.
Blonde,Sarışın,She has natural blonde hair and blue eyes.,Doğal sarı saçları ve mavi gözleri var.
Blood,Kan,Blood pressure should be checked regularly.,Kan basıncı düzenli olarak kontrol edilmelidir.
Bloom,Çiçek açmak,The cherry trees bloom in spring.,Kiraz ağaçları baharda çiçek açar.
Blossom,Çiçeklenmek/Gelişmek,Her talent began to blossom at an early age.,Yeteneği erken yaşta çiçeklenmeye (gelişmeye) başladı.
Blow,Esmek/Darbe,The wind blew the papers off the desk.,Rüzgar kağıtları masadan uçurdu.
Blueprint,Taslak/Plan,This document is a blueprint for future success.,Bu belge gelecekteki başarı için bir taslaktır.
Bluff,Blöf yapmak,He managed to bluff his way through the game.,Oyun boyunca blöf yaparak yolunu bulmayı başardı.
Blunder,Büyük hata/Pot kırmak,The politician made a serious blunder in his speech.,Politikacı konuşmasında ciddi bir pot kırdı.
Blunt,Körelmiş/Patavatsız,To be blunt I don't like your idea.,Açık konuşmak gerekirse fikrini beğenmedim.
Blur,Bulanıklık,Everything was a blur without my glasses.,Gözlüklerim olmadan her şey bir bulanıklıktı.
Board,Kurul/Binmek,The board of directors meets once a month.,Yönetim kurulu ayda bir toplanır.
Boast,Övünmek,He likes to boast about his expensive car.,Pahalı arabasıyla övünmeyi sever.
Bodyguard,Koruma görevlisi,The celebrity was surrounded by bodyguards.,Ünlü kişi korumalarla çevriliydi.
Boil,Kaynamak,Water boils at one hundred degrees Celsius.,Su yüz santigrat derecede kaynar.
Bold,Cesur/Kalın (Yazı),It was a bold move to quit his job.,İşini bırakmak cesur bir hareketti.
Bolt,Cıvata/Sürgü,Tighten the bolt to secure the shelf.,Rafı sabitlemek için cıvatayı sıkın.
Bomb,Bomba/Bombalamak,The city was bombed heavily during the war.,Şehir savaş sırasında ağır bir şekilde bombalandı.
Bond,Bağ/Bon (Finans),The bond between mother and child is strong.,Anne ve çocuk arasındaki bağ güçlüdür.
Bonus,İkramiye/Bonus,Employees received a Christmas bonus this year.,Çalışanlar bu yıl Noel ikramiyesi aldılar.
Boom,Patlama/Yükseliş,There was a boom in the housing market.,Konut piyasasında bir yükseliş (patlama) vardı.
Boost,Artırmak/Desteklemek,We need to boost our sales this month.,Bu ay satışlarımızı artırmamız gerekiyor.
Booth,Stant/Kabin,Visit our booth at the trade fair.,Ticaret fuarındaki standımızı ziyaret edin.
Border,Sınır,The border between the two countries is closed.,İki ülke arasındaki sınır kapalı.
Bore,Sıkmak (Can),I hope I didn't bore you with my stories.,Umarım hikayelerimle sizi sıkmadım.
Borrow,Ödünç almak,You can borrow books from the library.,Kütüphaneden kitap ödünç alabilirsiniz.
Boss,Patron,My boss appreciated the work I did.,Patronum yaptığım işi takdir etti.
Bother,Rahatsız etmek/Zahmet,Don't bother cooking I ordered pizza.,Yemek pişirmekle zahmet etme pizza sipariş ettim.
Bottle,Şişelemek/Şişe,The wine is bottled in France.,Şarap Fransa'da şişelenir.
Bottom,Dip/Alt,Read the notes at the bottom of the page.,Sayfanın altındaki notları okuyun.
Bounce,Zıplamak/Sekmek,The ball bounced off the wall.,Top duvardan sekti.
Bound,Bağlı/Sınır,We are bound by the terms of the contract.,Sözleşmenin şartlarıyla bağlıyız.
Boundary,Sınır/Hudut,The river marks the boundary of the estate.,Nehir arazinin sınırını belirler.
English,Turkish,EnSample,TrSample
Bouquet,Buket,She received a beautiful bouquet of flowers for her birthday.,Doğum günü için güzel bir çiçek buketi aldı.
Boutique,Butik,She bought her wedding dress from a small boutique in Paris.,Gelinliğini Paris'teki küçük bir butikten aldı.
Bow,Eğilmek/Yay,The actors bowed to the audience at the end of the play.,Oyuncular oyunun sonunda seyirciye eğilerek selam verdiler.
Boycott,Boykot etmek,Consumers decided to boycott the company due to its environmental policies.,Tüketiciler çevre politikaları nedeniyle şirketi boykot etmeye karar verdiler.
Brace,Desteklemek/Hazırlanmak,We must brace ourselves for the upcoming economic challenges.,Yaklaşan ekonomik zorluklara karşı kendimizi hazırlamalıyız.
Bracket,Parantez/Kategori,This income bracket pays a higher percentage of tax.,Bu gelir grubu (kategorisi) daha yüksek bir vergi yüzdesi öder.
Breach,İhlal etmek/Yarık,The hackers managed to breach the company's security system.,Hackerlar şirketin güvenlik sistemini ihlal etmeyi başardılar.
Breadth,Genişlik/Kapsam,The breadth of his knowledge on the subject is impressive.,Konu hakkındaki bilgisinin kapsamı etkileyici.
Breakdown,Arıza/Çöküş,The car suffered a mechanical breakdown on the highway.,Araba otoyolda mekanik bir arıza yaşadı.
Breakthrough,Büyük buluş/Atılım,Scientists have made a major breakthrough in cancer research.,Bilim insanları kanser araştırmalarında büyük bir atılım yaptılar.
Breathtaking,Nefes kesici,The view from the top of the mountain was absolutely breathtaking.,Dağın tepesinden manzara kesinlikle nefes kesiciydi.
Breed,Cins/Yetiştirmek,This particular breed of dog is known for its intelligence.,Bu özel köpek cinsi zekasıyla bilinir.
Breeze,Meltem/Esinti,A cool breeze blew in from the sea in the evening.,Akşam denizden serin bir meltem esti.
Bribe,Rüşvet,He tried to bribe the police officer to avoid a ticket.,Ceza yememek için polis memuruna rüşvet vermeye çalıştı.
Bribery,Rüşvetçilik,The politician was accused of corruption and bribery.,Politikacı yolsuzluk ve rüşvetçilikle suçlandı.
Brick,Tuğla,The house is built of red brick and has a large garden.,Ev kırmızı tuğladan yapılmıştır ve büyük bir bahçesi vardır.
Briefcase,Evrak çantası,He carried important documents in his leather briefcase.,Önemli belgeleri deri evrak çantasında taşıyordu.
Brighten,Aydınlatmak/Neşelendirmek,Fresh flowers can brighten up any room instantly.,Taze çiçekler herhangi bir odayı anında aydınlatabilir (neşelendirebilir).
