Approximate,Yaklaşık,The approximate cost.,Yaklaşık maliyet.
Architect,Mimar,The architect designed the house.,Mimar evi tasarladı.
Area,Bölge/Alan,Restricted area.,Yasak bölge.
Argue,Tartışmak,They argue all the time.,Sürekli tartışıyorlar.
Argument,Argüman/Tartışma,I had an argument with him.,Onunla bir tartışma yaşadım.
Arise,Ortaya çıkmak,A problem arose.,Bir sorun ortaya çıktı.
Armed,Silahlı,Armed forces.,Silahlı kuvvetler.
Arrange,Ayarlamak/Düzenlemek,Arrange a meeting.,Bir toplantı ayarla.
Arrest,Tutuklamak,The police arrested the thief.,Polis hırsızı tutukladı.
Arrival,Varış,Arrival time.,Varış zamanı.
Artificial,Yapay,Artificial intelligence.,Yapay zeka.
Ashamed,Utanmış,I felt ashamed.,Utanmış hissettim.
Aside,Bir kenara,Put money aside.,Kenara para koy.
Aspect,Yön/Bakış açısı,Every aspect of life.,Hayatın her yönü.
Assess,Değerlendirmek,Assess the situation.,Durumu değerlendir.
Assignment,Ödev/Görev,Complete the assignment.,Görevi tamamla.
Assist,Yardım etmek,Can I assist you?,Size yardım edebilir miyim?
Associate,İlişkilendirmek,I associate rain with sadness.,Yağmuru hüzünle ilişkilendiririm.
Assume,Varsaymak,I assume you are busy.,Meşgul olduğunu varsayıyorum.
Assure,Garanti etmek/Temin etmek,I assure you it is safe.,Sana garanti ederim ki güvenli.
Atmosphere,Atmosfer,Friendly atmosphere.,Arkadaşça atmosfer.
Attach,Eklemek/İliştirmek,Attach the file.,Dosyayı ekle.
Attempt,Teşebbüs etmek/Denemek,He attempted to escape.,Kaçmaya teşebbüs etti.
Attend,Katılmak (Toplantı vb),Attend a conference.,Bir konferansa katılmak.
Attitude,Tutum/Tavır,Positive attitude.,Pozitif tutum.
Attract,Çekmek (İlgi/Fiziksel),Magnets attract iron.,Mıknatıslar demiri çeker.
Attractive,Çekici,An attractive offer.,Çekici bir teklif.
Audience,Seyirci/İzleyici,The audience clapped.,Seyirci alkışladı.
Author,Yazar,Who is the author?,Yazar kim?
Authority,Otorite/Yetki,I have the authority.,Yetki bende.
Automatic,Otomatik,Automatic doors.,Otomatik kapılar.
Available,Müsait/Mevcut,Is this seat available?,Bu koltuk müsait mi?
Average,Ortalama,Average speed.,Ortalama hız.
Avoid,Kaçınmak,Avoid junk food.,Abur cuburdan kaçın.
Award,Ödül,He won an award.,Bir ödül kazandı.
Aware,Farkında,Are you aware of the danger?,Tehlikenin farkında mısın?
Awful,Berbat,The weather is awful.,Hava berbat.
Background,Arka plan,Educational background.,Eğitim geçmişi (arka planı).
Backward,Geriye doğru,Looking backward.,Geriye bakmak.
Balance,Denge,Keep your balance.,Dengeni koru.
Ban,Yasaklamak,Smoking is banned here.,Burada sigara içmek yasaklandı.
Bandage,Bandaj,Put a bandage on the cut.,Kesiğe bandaj koy.
Bargain,Pazarlık etmek,I love to bargain.,Pazarlık etmeyi severim.
Barrier,Engel/Bariyer,Language barrier.,Dil engeli.
Basic,Temel,Basic rules.,Temel kurallar.
Basis,Temel/Esas,On a daily basis.,Günlük bazda.
Battle,Savaş/Muharebe,They won the battle.,Savaşı kazandılar.
Bear,Katlanmak (Fiil),I can't bear this noise.,Bu gürültüye katlanamıyorum.
Beat,Yenmek (Spor/Oyun),We beat them.,Onları yendik.
Behavior,Davranış,Good behavior.,İyi davranış.
Belief,İnanç,Religious belief.,Dini inanç.
Belong,Ait olmak,This bag belongs to me.,Bu çanta bana ait.
Beneath,Altında (Edebi),Beneath the stars.,Yıldızların altında.
Benefit,Fayda/Yarar,Health benefits.,Sağlık yararları.
Beside,Yanında,Sit beside me.,Yanıma otur.
Betray,İhanet etmek,He betrayed his country.,Ülkesine ihanet etti.
Beyond,Ötesinde,Beyond the horizon.,Ufkun ötesinde.
Bias,Önyargı,He has a bias against us.,Bize karşı önyargısı var.
Bill,Yasa Tasarısı/Fatura,The government passed the bill.,Hükümet yasayı geçirdi.
Bitter,Acı (Tat/Duygu),Bitter chocolate.,Acı çikolata.
Blame,Suçlamak,Don't blame me.,Beni suçlama.
Blank,Boş,Fill in the blank spaces.,Boş yerleri doldur.
Blind,Kör,Love is blind.,Aşk kördür.
Block,Bloklamak/Engellemek,The road is blocked.,Yol engellenmiş.
Blood,Kan,Blood pressure.,Kan basıncı.
Board,Binmek (Uçak/Gemi),Board the plane.,Uçağa binmek.
Bomb,Bomba,The bomb exploded.,Bomba patladı.
Bond,Bağ (İlişki),Strong bond.,Güçlü bağ.
Border,Sınır,Cross the border.,Sınırı geçmek.
Borrow,Ödünç almak,Can I borrow your car?,Arabanı ödünç alabilir miyim?
Bother,Rahatsız etmek,Sorry to bother you.,Rahatsız ettiğim için üzgünüm.
Bound,Bağlı/Zorunda,You are bound to happen.,Olması mukadder (kaçınılmaz).
Boundary,Sınır çizgisi,Natural boundary.,Doğal sınır.
Brand,Marka,Famous brand.,Ünlü marka.
Brave,Cesur,Be brave.,Cesur ol.
Breath,Nefes,Take a deep breath.,Derin bir nefes al.
Breathe,Nefes almak,I can't breathe.,Nefes alamıyorum.
Brief,Kısa/Özet,A brief meeting.,Kısa bir toplantı.
Bright,Parlak,Bright future.,Parlak gelecek.
Brilliant,Muhteşem/Parlak (Zeka),Brilliant idea.,Muhteşem fikir.
Broad,Geniş,Broad shoulders.,Geniş omuzlar.
Broadcast,Yayınlamak,Broadcast live.,Canlı yayınlamak.
Budget,Bütçe,We have a low budget.,Düşük bir bütçemiz var.
Bullet,Mermi,Faster than a bullet.,Mermiden daha hızlı.
Bunch,Demet/Salkım,A bunch of flowers.,Bir demet çiçek.
Bury,Gömmek,Bury the treasure.,Hazineyi gömmek.
Bush,Çalı,Hiding in the bush.,Çalıda saklanıyor.
Cabinet,Kabine/Dolap,Kitchen cabinet.,Mutfak dolabı.
Cable,Kablo,Electric cable.,Elektrik kablosu.
Calculate,Hesaplamak,Calculate the cost.,Maliyeti hesapla.
Campaign,Kampanya,Election campaign.,Seçim kampanyası.
Canal,Kanal,Suez Canal.,Süveyş Kanalı.
Cancel,İptal etmek,Cancel the meeting.,Toplantıyı iptal et.
Cancer,Kanser,He cured cancer.,Kanseri iyileştirdi.
Candidate,Aday,Presidential candidate.,Başkan adayı.
English,Turkish,EnSample,TrSample
Capacity,Kapasite,The stadium has a large capacity.,Stadyumun geniş bir kapasitesi var.
Capture,Yakalamak/Ele geçirmek,The police captured the thief.,Polis hırsızı yakaladı.
Career,Kariyer,She is focused on her career.,Kariyerine odaklanmış durumda.
Celebration,Kutlama,New Year celebration.,Yeni yıl kutlaması.
Ceremony,Tören,Wedding ceremony.,Düğün töreni.
Certain,Belli/Kesin,I am certain about it.,Bundan eminim.
Challenge,Zorluk/Meydan okuma,It was a big challenge.,Büyük bir zorluktu.
Champion,Şampiyon,World champion.,Dünya şampiyonu.
Chapter,Bölüm (Kitap),Read the first chapter.,İlk bölümü oku.
Character,Karakter,Main character.,Ana karakter.
Charity,Hayır kurumu,Donate to charity.,Hayır kurumuna bağış yap.
Chemical,Kimyasal,Chemical reaction.,Kimyasal reaksiyon.
Chief,Şef/Baş,Police chief.,Polis şefi.
Childhood,Çocukluk,Happy childhood.,Mutlu çocukluk.
Choice,Seçim,It is your choice.,Bu senin seçimin.
Citizen,Vatandaş,Turkish citizen.,Türk vatandaşı.
Claim,İddia etmek/Talep,He claimed to be innocent.,Masum olduğunu iddia etti.
Classic,Klasik,Classic music.,Klasik müzik.
Climate,İklim,Climate change.,İklim değişikliği.
Colleague,İş arkadaşı,My colleagues are helpful.,İş arkadaşlarım yardımseverdir.
Collect,Toplamak/Biriktirmek,Collect data.,Veri toplamak.
Combine,Birleştirmek,Combine flour and sugar.,Un ve şekeri birleştir.
Comedy,Komedi,I like watching comedy.,Komedi izlemeyi severim.
Comfort,Konfor/Rahatlık,For your comfort.,Sizin rahatınız için.
Command,Emir/Komuta,Under his command.,Onun komutası altında.
Comment,Yorum,Leave a comment.,Bir yorum bırak.
Commercial,Ticari/Reklam,Commercial break.,Reklam arası.
Commission,Komisyon,Sales commission.,Satış komisyonu.
Commit,Adamak/İşlemek (Suç),Commit a crime.,Suç işlemek.
Committee,Komite,The committee decided.,Komite karar verdi.
Common,Yaygın/Ortak,Common interest.,Ortak ilgi.
Communicate,İletişim kurmak,We communicate by email.,E-posta ile iletişim kuruyoruz.
Communication,İletişim,Good communication is key.,İyi iletişim anahtardır.
Community,Topluluk,Local community.,Yerel topluluk.
Compare,Karşılaştırmak,Compare the prices.,Fiyatları karşılaştır.
Comparison,Karşılaştırma,In comparison to last year.,Geçen yıla kıyasla.
Compete,Yarışmak/Rekabet etmek,Athletes compete for gold.,Sporcular altın için yarışır.
Competition,Yarışma/Rekabet,High competition.,Yüksek rekabet.
Complain,Şikayet etmek,Stop complaining.,Şikayet etmeyi bırak.
Complete,Tamamlamak/Tam,Complete the task.,Görevi tamamla.
Complex,Karmaşık,Complex system.,Karmaşık sistem.
Component,Bileşen/Parça,Key component.,Ana bileşen.
Concentrate,Konsantre olmak,I cannot concentrate.,Konsantre olamıyorum.
Concept,Kavram/Konsept,Abstract concept.,Soyut kavram.
Concern,Endişe/İlgilendirmek,It concerns all of us.,Bu hepimizi ilgilendirir.
Concert,Konser,Live concert.,Canlı konser.
Conclude,Sonuçlandırmak,The meeting concluded.,Toplantı sonuçlandı.
Conclusion,Sonuç,In conclusion.,Sonuç olarak.
Condition,Durum/Şart,In good condition.,İyi durumda.
Conduct,Yürütmek (İş/Davranış),Conduct a survey.,Anket yürütmek.
Conference,Konferans,Press conference.,Basın toplantısı.
Confidence,Güven,Self confidence.,Özgüven.
Confident,Kendinden emin,Be confident.,Kendinden emin ol.
Confirm,Onaylamak,Please confirm your order.,Lütfen siparişinizi onaylayın.
Conflict,Çatışma,Conflict of interest.,Çıkar çatışması.
Confuse,Kafasını karıştırmak,Don't confuse me.,Kafamı karıştırma.
Connect,Bağlanmak,Connect to the internet.,İnternete bağlan.
Connection,Bağlantı,Lost connection.,Bağlantı koptu.
Consequence,Sonuç (Olumsuz),Face the consequences.,Sonuçlarla yüzleş.
Consider,Düşünmek/Göz önünde bulundurmak,Consider it done.,Yapılmış bil (Düşün).
Consist,Oluşmak,Water consists of hydrogen and oxygen.,Su hidrojen ve oksijenden oluşur.
Constant,Sürekli/Sabit,Constant pain.,Sürekli ağrı.
Construct,İnşa etmek,Construct a bridge.,Köprü inşa etmek.
Construction,İnşaat,Under construction.,İnşaat halinde.
Consumer,Tüketici,Consumer rights.,Tüketici hakları.
Contact,İletişim/Temas,Contact me.,Benimle iletişime geç.
Contain,İçermek,This box contains books.,Bu kutu kitaplar içerir.
Content,İçerik/Memnun,Table of contents.,İçindekiler tablosu.
Contest,Yarışma,Beauty contest.,Güzellik yarışması.
Context,Bağlam,In this context.,Bu bağlamda.
Continue,Devam etmek,Continue working.,Çalışmaya devam et.
Contract,Sözleşme,Sign the contract.,Sözleşmeyi imzala.
Contrast,Zıtlık,In contrast.,Aksine (Zıt olarak).
Contribute,Katkıda bulunmak,Contribute to the project.,Projeye katkıda bulun.
Control,Kontrol etmek,Control the situation.,Durumu kontrol et.
Convenient,Uygun/Elverişli,Is it convenient for you?,Sizin için uygun mu?
Conversation,Sohbet/Konuşma,We had a long conversation.,Uzun bir sohbetimiz oldu.
Convince,İkna etmek,I couldn't convince him.,Onu ikna edemedim.
Cooperation,İşbirliği,Thank you for your cooperation.,İşbirliğiniz için teşekkürler.
Core,Çekirdek/Öz,Core value.,Öz değer.
Corporate,Kurumsal,Corporate identity.,Kurumsal kimlik.
Correct,Doğru/Düzeltmek,Correct the mistakes.,Hataları düzelt.
Cost,Maliyet,The cost of living.,Yaşam maliyeti.
Costume,Kostüm,Halloween costume.,Cadılar Bayramı kostümü.
Council,Konsey/Meclis,City council.,Şehir meclisi.
Count,Saymak,Count to ten.,Ona kadar say.
Countryside,Kırsal bölge,Living in the countryside.,Kırsalda yaşamak.
Couple,Çift,Married couple.,Evli çift.
Courage,Cesaret,It takes courage.,Cesaret ister.
Course,Kurs/Ders,Main course.,Ana yemek (veya kurs).
Court,Mahkeme/Kort,Tennis court.,Tenis kortu.
Cover,Örtmek/Kapak,Cover the pot.,Tencerenin kapağını ört.
Crack,Çatlak/Çatlamak,A crack in the wall.,Duvarda bir çatlak.
Crash,Çarpmak/Kaza,Car crash.,Araba kazası.
Create,Yaratmak,Create a new file.,Yeni bir dosya yarat.
Creation,Yaratılış/Eser,His latest creation.,Onun son eseri.
Creative,Yaratıcı,Creative thinking.,Yaratıcı düşünme.
Creature,Yaratık,Strange creature.,Tuhaf yaratık.
Credit,Kredi,Credit card.,Kredi kartı.
Crew,Mürettebat/Ekip,Cabin crew.,Kabin ekibi.
Crime,Suç,Commit a crime.,Suç işlemek.
Criminal,Suçlu,He is a criminal.,O bir suçlu.
Crisis,Kriz,Economic crisis.,Ekonomik kriz.
Critical,Kritik/Eleştirel,Critical situation.,Kritik durum.
Criticism,Eleştiri,Constructive criticism.,Yapıcı eleştiri.
Crowd,Kalabalık,A huge crowd.,Büyük bir kalabalık.
Crucial,Çok önemli/Hayati,Crucial decision.,Hayati karar.
Cultural,Kültürel,Cultural heritage.,Kültürel miras.
Culture,Kültür,Turkish culture.,Türk kültürü.
Cure,Tedavi,Is there a cure?,Bir tedavisi var mı?
Curious,Meraklı,I am curious.,Meraklıyım.
Current,Mevcut/Akım,Current situation.,Mevcut durum.
Custom,Gelenek/Gümrük,Customs officer.,Gümrük memuru.
Customer,Müşteri,Regular customer.,Daimi müşteri.
Cycle,Döngü/Bisiklet,Life cycle.,Yaşam döngüsü.
Daily,Günlük,Daily routine.,Günlük rutin.
Damage,Hasar,Storm damage.,Fırtına hasarı.
Danger,Tehlike,In danger.,Tehlikede.
Data,Veri,Analyze the data.,Veriyi analiz et.
Deal,Anlaşma/Başa çıkmak,Deal with the problem.,Sorunla başa çıkmak.
Debate,Tartışma,Political debate.,Siyasi tartışma.
Debt,Borç,Pay off debt.,Borcu ödemek.
Decade,Onyıl,Last decade.,Son on yıl.
Decide,Karar vermek,Decide quickly.,Hızlı karar ver.
Decision,Karar,Make a decision.,Bir karar ver.
Declare,İlan etmek,Declare war.,Savaş ilan etmek.
Decline,Reddetmek/Düşüş,Decline the offer.,Teklifi reddetmek.
Decrease,Azalmak,Decrease in sales.,Satışlarda azalma.
Deep,Derin,Deep sleep.,Derin uyku.
Defeat,Yenmek/Yenilgi,Accept defeat.,Yenilgiyi kabul et.
Defence,Savunma,Self defence.,Meşru müdafaa.
Defend,Savunmak,Defend your rights.,Haklarını savun.
Define,Tanımlamak,Define the word.,Kelimeyi tanımla.
Definite,Kesin,Definite answer.,Kesin cevap.
Definition,Tanım,Dictionary definition.,Sözlük tanımı.
Degree,Derece,University degree.,Üniversite diploması (derecesi).
Delay,Gecikme,Flight delay.,Uçuş gecikmesi.
Deliver,Teslim etmek,Deliver the package.,Paketi teslim et.
Delivery,Teslimat,Home delivery.,Eve teslimat.
Demand,Talep,High demand.,Yüksek talep.
Democracy,Demokrasi,Fight for democracy.,Demokrasi için savaşmak.
Demonstrate,Göstermek/Kanıtlamak,Demonstrate how it works.,Nasıl çalıştığını göster.
Deny,İnkar etmek,He denied the accusation.,Suçlamayı inkar etti.
Department,Departman,HR department.,İnsan kaynakları departmanı.
Departure,Kalkış/Ayrılış,Departure time.,Kalkış saati.
Depend,Bağlı olmak,It depends on you.,Sana bağlı.
Depth,Derinlik,Depth of the ocean.,Okyanusun derinliği.
Describe,Tasvir etmek,Describe the picture.,Resmi tasvir et.
Description,Tanım/Betimleme,Detailed description.,Detaylı tanım.
Desert,Çöl,Sahara Desert.,Sahra Çölü.
Deserve,Hak etmek,You deserve it.,Bunu hak ediyorsun.
Design,Tasarım,Graphic design.,Grafik tasarım.
Desire,Arzu,Deep desire.,Derin arzu.
Despite,Rağmen,Despite the rain.,Yağmura rağmen.
Destroy,Yok etmek,Destroy the evidence.,Kanıtı yok et.
Destruction,Yıkım,Mass destruction.,Kitle imha.
Detail,Detay,In detail.,Detaylıca.
Detect,Tespit etmek,Detect a virus.,Virüs tespit etmek.
Determination,Kararlılık,With determination.,Kararlılıkla.
Determine,Belirlemek,Determine the cause.,Sebebi belirle.
Develop,Geliştirmek,Develop a plan.,Plan geliştirmek.
Development,Gelişim,Personal development.,Kişisel gelişim.
Device,Cihaz,Electronic device.,Elektronik cihaz.
Diagram,Diyagram,Draw a diagram.,Bir diyagram çiz.
Difference,Fark,Make a difference.,Fark yaratmak.
Difficult,Zor,Difficult task.,Zor görev.
Difficulty,Zorluk,Have difficulty.,Zorluk yaşamak.
Dig,Kazmak,Dig a hole.,Çukur kazmak.
Digital,Dijital,Digital camera.,Dijital kamera.
Direct,Doğrudan/Yönlendirmek,Direct flight.,Doğrudan uçuş.
Direction,Yön,Wrong direction.,Yanlış yön.
Director,Yönetmen/Müdür,Film director.,Film yönetmeni.
Dirt,Kir/Toprak,Wash off the dirt.,Kiri yıka.
Disadvantage,Dezavantaj,Main disadvantage.,Ana dezavantaj.
Disagree,Katılmamak,I disagree with you.,Sana katılmıyorum.
Disappear,Gözden kaybolmak,The sun disappeared.,Güneş gözden kayboldu.
Disappoint,Hayal kırıklığına uğratmak,Don't disappoint me.,Beni hayal kırıklığına uğratma.
Disaster,Felaket,Natural disaster.,Doğal felaket.
Discipline,Disiplin,Strict discipline.,Sıkı disiplin.
Discount,İndirim,Big discount.,Büyük indirim.
Discover,Keşfetmek,Discover new places.,Yeni yerler keşfet.
Discovery,Keşif,Scientific discovery.,Bilimsel keşif.
Discuss,Tartışmak (Konuşmak),Discuss the topic.,Konuyu tartışmak.
Discussion,Tartışma,Group discussion.,Grup tartışması.
Disease,Hastalık,Infectious disease.,Bulaşıcı hastalık.
Dismiss,Kovmak/Görmezden gelmek,Dismiss the idea.,Fikri bir kenara atmak.
Display,Sergilemek/Ekran,On display.,Sergide.
Distance,Mesafe,Long distance.,Uzun mesafe.
Distribute,Dağıtmak,Distribute the papers.,Kağıtları dağıt.
Distribution,Dağıtım,Distribution channel.,Dağıtım kanalı.
District,Bölge/İlçe,Business district.,İş bölgesi.
Disturb,Rahatsız etmek,Do not disturb.,Rahatsız etmeyin.
Divide,Bölmek,Divide by two.,İkiye böl.
Division,Bölüm/Tümen,First division.,Birinci lig (bölüm).
Document,Belge,Official document.,Resmi belge.
Domestic,Yerli/Evcil,Domestic flight.,İç hat uçuşu.
Dominant,Baskın,Dominant culture.,Baskın kültür.
Double,Çift,Double room.,Çift kişilik oda.
Doubt,Şüphe,Without a doubt.,Şüphesiz.
Drag,Sürüklemek,Drag and drop.,Sürükle ve bırak.
Drama,Drama,Drama series.,Drama dizisi.
Dramatic,Dramatik/Önemli,Dramatic change.,Önemli (dramatik) değişim.
Draw,Çizmek/Çekmek,Draw a line.,Çizgi çiz.
Drawing,Çizim,Pencil drawing.,Karakalem çizim.
Dream,Rüya/Hayal,Sweet dreams.,Tatlı rüyalar.
Drug,İlaç/Uyuşturucu,New drug.,Yeni ilaç.
Dry,Kuru,Dry skin.,Kuru cilt.
Due,Vadesi gelmiş/Nedeniyle,Due to rain.,Yağmur nedeniyle.
Duty,Görev,Duty free.,Gümrüksüz (Vergi görevi olmayan).
Eager,İstekli,Eager to learn.,Öğrenmeye istekli.
Earn,Kazanmak (Para),Earn money.,Para kazanmak.
Earth,Dünya/Toprak,Planet Earth.,Dünya gezegeni.
Economic,Ekonomik,Economic growth.,Ekonomik büyüme.
Economy,Ekonomi,Global economy.,Küresel ekonomi.
Edge,Kenar,Edge of the cliff.,Uçurumun kenarı.
Edit,Düzenlemek,Edit the text.,Metni düzenle.
Education,Eğitim,Higher education.,Yüksek eğitim.
Effect,Etki,Side effect.,Yan etki.
Effective,Etkili,Effective method.,Etkili yöntem.
Efficient,Verimli,Energy efficient.,Enerji tasarruflu (verimli).
Effort,Çaba,Make an effort.,Çaba göster.
Election,Seçim,General election.,Genel seçim.
Electronic,Elektronik,Electronic mail.,Elektronik posta.
Element,Element/Unsur,Key element.,Ana unsur.
Emergency,Acil durum,Emergency exit.,Acil çıkış.
Emotion,Duygu,Mixed emotions.,Karışık duygular.
Emotional,Duygusal,Emotional support.,Duygusal destek.
Emphasis,Vurgu,Emphasis on quality.,Kaliteye vurgu.
Emphasize,Vurgulamak,Emphasize the importance.,Önemini vurgulamak.
Employ,İşe almak,Employ new staff.,Yeni personel işe almak.
Employee,Çalışan,Best employee.,En iyi çalışan.
Employer,İşveren,My employer.,Benim işverenim.
Employment,İstihdam,Employment rate.,İstihdam oranı.
Enable,Olanak sağlamak,Enable cookies.,Çerezlere izin ver (olanak sağla).
Encounter,Karşılaşmak,Encounter a problem.,Bir sorunla karşılaşmak.
Encourage,Cesaretlendirmek,Encourage students.,Öğrencileri cesaretlendir.
End,Son/Bitirmek,End of the story.,Hikayenin sonu.
Enemy,Düşman,Public enemy.,Halk düşmanı.
Energy,Enerji,Solar energy.,Güneş enerjisi.
Engage,Nişanlanmak/İlgilenmek,Engage in conversation.,Sohbete katılmak.
Engineer,Mühendis,Software engineer.,Yazılım mühendisi.
Engineering,Mühendislik,Civil engineering.,İnşaat mühendisliği.
Enhance,Geliştirmek/Artırmak,Enhance quality.,Kaliteyi artırmak.
Enjoy,Zevk almak,Enjoy your meal.,Afiyet olsun.
Enormous,Kocaman,Enormous amount.,Kocaman miktar.
Ensure,Garantiye almak,Ensure safety.,Güvenliği sağla.
Enter,Girmek,Enter the room.,Odaya gir.
Entertain,Eğlendirmek,Entertain the guests.,Misafirleri eğlendir.
Entertainment,Eğlence,Entertainment industry.,Eğlence endüstrisi.
Enthusiasm,Coşku,Show enthusiasm.,Coşku göster.
Entire,Tüm/Bütün,Entire world.,Tüm dünya.
Environment,Çevre,Protect the environment.,Çevreyi koru.
Environmental,Çevresel,Environmental issues.,Çevresel sorunlar.
Episode,Bölüm (Dizi),Next episode.,Sonraki bölüm.
Equal,Eşit,Equal rights.,Eşit haklar.
Equipment,Ekipman,Sports equipment.,Spor ekipmanı.
Error,Hata,System error.,Sistem hatası.
Escape,Kaçmak,Escape from prison.,Hapisten kaçmak.
Especially,Özellikle,Especially today.,Özellikle bugün.
