Art,Sanat,She loves modern art.,O modern sanatı sever.
Artist,Sanatçı,Picasso was a great artist.,Picasso harika bir sanatçıydı.
Ask,Sormak/İstemek,He asked for help.,Yardım istedi.
Baby,Bebek,The baby is sleeping quietly.,Bebek sessizce uyuyor.
Back,Arka/Geri,Please come back soon.,Lütfen yakında geri gel.
Badly,Kötü bir şekilde,He drove badly and crashed.,Kötü sürdü ve kaza yaptı.
Bag,Çanta,I packed my bag for the trip.,Gezi için çantamı hazırladım.
Ball,Top,Throw the ball to me.,Topu bana at.
Bank,Banka,I need to go to the bank.,Bankaya gitmem lazım.
Bar,Bar/Çubuk,We met at a coffee bar.,Bir kahve barında buluştuk.
Baseball,Beyzbol,Americans love baseball.,Amerikalılar beyzbolu sever.
Basketball,Basketbol,He plays basketball every weekend.,Her hafta sonu basketbol oynar.
Bath,Banyo (Eylemi),I took a hot bath.,Sıcak bir banyo yaptım.
Bathroom,Banyo (Oda),The bathroom is upstairs.,Banyo üst katta.
Be,Olmak,I want to be a teacher.,Öğretmen olmak istiyorum.
Beach,Plaj,We walked along the beach.,Plaj boyunca yürüdük.
Beautiful,Güzel,She wore a beautiful dress.,Güzel bir elbise giydi.
Because,Çünkü,I stayed home because it rained.,Evde kaldım çünkü yağmur yağdı.
Become,Olmak/Haline gelmek,He became rich very young.,Çok gençken zengin oldu.
Bed,Yatak,It is time to go to bed.,Yatağa gitme vakti.
Bedroom,Yatak odası,My bedroom is blue.,Yatak odam mavi.
Beer,Bira,He drank a glass of beer.,Bir bardak bira içti.
Before,Önce,Wash your hands before eating.,Yemekten önce ellerini yıka.
Begin,Başlamak,The concert began at 8 PM.,Konser saat 8'de başladı.
Beginning,Başlangıç,At the beginning of the movie.,Filmin başlangıcında.
Behind,Arkasında,The cat is behind the sofa.,Kedi kanepenin arkasında.
Believe,İnanmak,I don't believe his story.,Onun hikayesine inanmıyorum.
Below,Aşağıda/Altında,See the example below.,Aşağıdaki örneğe bakınız.
Best,En iyi,He is my best friend.,O benim en iyi arkadaşım.
Better,Daha iyi,I feel better today.,Bugün daha iyi hissediyorum.
Between,Arasında,The shop is between the bank and the park.,Dükkan banka ile parkın arasında.
Bicycle,Bisiklet,I ride my bicycle to school.,Okula bisikletimle giderim.
Big,Büyük,They have a big garden.,Büyük bir bahçeleri var.
Bike,Bisiklet (Kısa),Can I borrow your bike?,Bisikletini ödünç alabilir miyim?
Bill,Fatura/Hesap,Can we have the bill please?,Hesabı alabilir miyiz lütfen?
Bird,Kuş,Look at that colorful bird.,Şu renkli kuşa bak.
Birthday,Doğum günü,When is your birthday?,Doğum günün ne zaman?
Bit,Biraz/Parça,I am a bit tired.,Biraz yorgunum.
Black,Siyah,She usually wears black.,Genellikle siyah giyer.
Blog,Blog,I write a travel blog.,Bir seyahat blogu yazıyorum.
Blonde,Sarışın,She has long blonde hair.,Onun uzun sarı saçları var.
Blue,Mavi,The sky is clear and blue.,Gökyüzü açık ve mavi.
Board,Tahta/Kurul,Write the answer on the board.,Cevabı tahtaya yaz.
Boat,Tekne/Bot,We crossed the river by boat.,Nehri tekneyle geçtik.
Body,Vücut,Yoga is good for your body.,Yoga vücudun için iyidir.
Book,Kitap/Rezervasyon yapmak,I booked a table for two.,İki kişilik masa ayırttım.
Boot,Bot (Ayakkabı),These boots are very warm.,Bu botlar çok sıcak tutuyor.
Bored,Sıkılmış,I was bored during the lesson.,Ders sırasında sıkıldım.
Boring,Sıkıcı,The movie was very boring.,Film çok sıkıcıydı.
Born,Doğmuş,I was born in London.,Londra'da doğdum.
Both,Her ikisi,Both of them are my friends.,Onların her ikisi de arkadaşım.
Bottle,Şişe,We need a bottle of water.,Bir şişe suya ihtiyacımız var.
Box,Kutu,The box is full of old photos.,Kutu eski fotoğraflarla dolu.
Boy,Erkek çocuk,The boy is playing football.,Erkek çocuk futbol oynuyor.
Boyfriend,Erkek arkadaş,Her boyfriend is tall.,Onun erkek arkadaşı uzun boylu.
Bread,Ekmek,Fresh bread smells good.,Taze ekmek güzel kokar.
Break,Kırmak/Mola,Let's take a break.,Hadi bir mola verelim.
Breakfast,Kahvaltı,I usually skip breakfast.,Genellikle kahvaltıyı atlarım.
Bring,Getirmek,Did you bring the money?,Parayı getirdin mi?
Brother,Erkek kardeş,My brother lives in Germany.,Erkek kardeşim Almanya'da yaşıyor.
Brown,Kahverengi,He has brown eyes.,Onun kahverengi gözleri var.
Build,İnşa etmek,They are building a new school.,Yeni bir okul inşa ediyorlar.
Building,Bina,This is the tallest building in the city.,Bu şehirdeki en yüksek bina.
Bus,Otobüs,I take the bus to work.,İşe otobüsle giderim.
Business,İş/Ticaret,He is in London on business.,O iş için Londra'da.
Busy,Meşgul,I am too busy to talk.,Konuşamayacak kadar meşgulüm.
But,Ama/Fakat,I want to go but I am tired.,Gitmek istiyorum ama yorgunum.
Butter,Tereyağı,Do you want butter on your toast?,Tostunda tereyağı ister misin?
Buy,Satın almak,I bought a new car last week.,Geçen hafta yeni bir araba aldım.
By,İle/Tarafından,We went to Paris by train.,Paris'e trenle gittik.
Bye,Hoşça kal,Bye see you tomorrow.,Hoşça kal yarın görüşürüz.
Cafe,Kafe,Let's meet at the cafe.,Hadi kafede buluşalım.
Cake,Pasta/Kek,She baked a chocolate cake.,O çikolatalı bir kek pişirdi.
Call,Aramak,Please call me when you arrive.,Vardığında lütfen beni ara.
Camera,Kamera,This camera takes good photos.,Bu kamera iyi fotoğraflar çeker.
Camp,Kamp yapmak,We camped near the lake.,Gölün yakınında kamp yaptık.
Can, -ebilmek (Yetenek),Can you speak Spanish?,İspanyolca konuşabilir misin?
Cannot,Yapamamak,I cannot swim very well.,Çok iyi yüzemem.
Capital,Başkent,Ankara is the capital of Turkey.,Ankara Türkiye'nin başkentidir.
Car,Araba,His car is faster than mine.,Onun arabası benimkinden daha hızlı.
Card,Kart,Here is my business card.,İşte kartvizitim.
Career,Kariyer,She wants a career in medicine.,Tıp alanında bir kariyer istiyor.
Careful,Dikkatli,Be careful with that glass.,O bardağa dikkat et.
Carrot,Havuç,Rabbits love carrots.,Tavşanlar havuç sever.
Carry,Taşımak,This box is too heavy to carry.,Bu kutu taşımak için fazla ağır.
Case,Durum/Vaka,In case of fire use the stairs.,Yangın durumunda merdivenleri kullanın.
Cat,Kedi,I have a cat named Tom.,Tom adında bir kedim var.
Catch,Yakalamak,Did you catch the bus?,Otobüsü yakaladın mı?
Cause,Sebep olmak/Neden,What caused the accident?,Kazaya ne sebep oldu?
Celebrate,Kutlamak,How do you celebrate New Year?,Yeni yılı nasıl kutlarsın?
Celebrity,Ünlü,He wants to be a celebrity.,O bir ünlü olmak istiyor.
Center,Merkez,The hotel is in the city center.,Otel şehir merkezinde.
Century,Yüzyıl,We live in the 21st century.,21. yüzyılda yaşıyoruz.
Chair,Sandalye,This chair is broken.,Bu sandalye kırık.
Chance,Şans,Give me one more chance.,Bana bir şans daha ver.
Change,Değiştirmek/Para üstü,I need to change my clothes.,Kıyafetlerimi değiştirmem lazım.
Charge,Şarj etmek/Ücretlendirmek,I need to charge my phone.,Telefonumu şarj etmem gerek.
Charity,Hayır kurumu,She gives money to charity.,Hayır kurumuna para verir.
Chart,Tablo/Grafik,Look at the chart on page five.,Sayfa beşteki tabloya bak.
Chat,Sohbet etmek,We chatted for hours.,Saatlerce sohbet ettik.
Cheap,Ucuz,This shirt is very cheap.,Bu gömlek çok ucuz.
Check,Kontrol etmek,Please check your answers.,Lütfen cevaplarını kontrol et.
Chef,Şef (Aşçı),He is a famous chef.,O ünlü bir şef.
Chemistry,Kimya,I find chemistry difficult.,Kimyayı zor buluyorum.
Chicken,Tavuk,We had chicken for dinner.,Akşam yemeğinde tavuk yedik.
Child,Çocuk,As a child I lived in Spain.,Çocukken İspanya'da yaşadım.
Chocolate,Çikolata,I love dark chocolate.,Bitter çikolatayı severim.
Choice,Seçim,It was a difficult choice.,Zor bir seçimdi.
Choose,Seçmek,Choose the correct answer.,Doğru cevabı seç.
Church,Kilise,They go to church on Sundays.,Pazar günleri kiliseye giderler.
Cinema,Sinema,Let's go to the cinema tonight.,Hadi bu akşam sinemaya gidelim.
City,Şehir,New York is a busy city.,New York yoğun bir şehirdir.
Class,Sınıf/Ders,My history class starts at 9.,Tarih dersim 9'da başlıyor.
Classmate,Sınıf arkadaşı,She is my favorite classmate.,O benim en sevdiğim sınıf arkadaşım.
Clean,Temiz/Temizlemek,I clean my room every Saturday.,Odamı her Cumartesi temizlerim.
Clear,Açık/Net,The instructions were very clear.,Talimatlar çok netti.
Clever,Zeki,He is a clever boy.,O zeki bir çocuk.
Climb,Tırmanmak,They climbed the mountain.,Dağa tırmandılar.
Clock,Saat (Duvar/Masa),The clock on the wall is slow.,Duvardaki saat geri kalmış.
Close,Kapatmak/Yakın,Close the door please.,Kapıyı kapat lütfen.
Clothes,Kıyafetler,I bought some new clothes.,Biraz yeni kıyafet aldım.
Club,Kulüp,Do you want to join our club?,Kulübümüze katılmak ister misin?
Coach,Koç/Antrenör,Our football coach is strict.,Futbol koçumuz serttir.
Coat,Mont/Kaban,Put on your coat it is cold.,Montunu giy hava soğuk.
Coffee,Kahve,I drink coffee every morning.,Her sabah kahve içerim.
Cold,Soğuk,I have a bad cold.,Fena üşüttüm (nezleyim).
Colleague,Meslektaş/İş arkadaşı,I work with nice colleagues.,İyi iş arkadaşlarıyla çalışıyorum.
Collect,Toplamak/Biriktirmek,I collect stamps.,Pul biriktiririm.
College,Kolej/Üniversite,My brother is at college.,Kardeşim üniversitede.
Color,Renk,What color is your car?,Araban ne renk?
Come,Gelmek,Come and sit here.,Gel ve buraya otur.
Comfortable,Rahat,This sofa is very comfortable.,Bu kanepe çok rahat.
Common,Yaygın/Ortak,It is a common problem.,Bu yaygın bir sorun.
Company,Şirket,He works for a big company.,Büyük bir şirket için çalışıyor.
Compare,Karşılaştırmak,Compare these two pictures.,Bu iki resmi karşılaştır.
Competition,Yarışma,She won the singing competition.,Şarkı yarışmasını kazandı.
Complain,Şikayet etmek,He complained about the food.,Yemek hakkında şikayet etti.
Complete,Tamamlamak/Tam,Complete the sentences.,Cümleleri tamamla.
Computer,Bilgisayar,I use a computer for work.,İş için bilgisayar kullanıyorum.
Concert,Konser,The concert was loud.,Konser gürültülüydü.
Condition,Durum/Şart,The car is in good condition.,Araba iyi durumda.
Conference,Konferans,I am going to a conference.,Bir konferansa gidiyorum.
Connect,Bağlamak,Connect the printer to the laptop.,Yazıcıyı bilgisayara bağla.
Cook,Pişirmek,Who cooked this meal?,Bu yemeği kim pişirdi?
Cool,Serin/Havalı,It is a cool evening.,Serin bir akşam.
Copy,Kopyalamak,Can you copy this document?,Bu belgeyi kopyalayabilir misin?
Corner,Köşe,The shop is on the corner.,Dükkan köşede.
Correct,Doğru/Düzeltmek,Is this sentence correct?,Bu cümle doğru mu?
Cost,Maliyet/Tutmak,How much does it cost?,Bunun fiyatı ne kadar?
Could, -ebilmek (Geçmiş/Kibarlık),Could you help me please?,Bana yardım edebilir misiniz lütfen?
Country,Ülke,Which country are you from?,Hangi ülkedensin?
Course,Kurs/Ders,I am taking an English course.,Bir İngilizce kursu alıyorum.
Cousin,Kuzen,My cousin lives in Italy.,Kuzenim İtalya'da yaşıyor.
Cover,Örtmek/Kapak,Cover the food.,Yemeğin üstünü ört.
Cow,İnek,We saw cows on the farm.,Çiftlikte inekler gördük.
Crazy,Çılgın/Deli,This idea is crazy.,Bu fikir çılgınca.
Cream,Krema,I like coffee with cream.,Kahveyi kremalı severim.
Create,Yaratmak/Oluşturmak,Create a new folder.,Yeni bir klasör oluştur.
Cross,Karşıya geçmek/Çapraz,Be careful when you cross the road.,Yoldan karşıya geçerken dikkatli ol.
Crowd,Kalabalık,There was a big crowd.,Büyük bir kalabalık vardı.
Crowded,Kalabalık (Sıfat),The bus was very crowded.,Otobüs çok kalabalıktı.
Cry,Ağlamak,Don't cry everything is okay.,Ağlama her şey yolunda.
Cup,Fincan,Would you like a cup of tea?,Bir fincan çay ister misin?
Cupboard,Dolap,Put the plates in the cupboard.,Tabakları dolaba koy.
Curtain,Perde,Close the curtains.,Perdeleri kapat.
Customer,Müşteri,The customer is always right.,Müşteri her zaman haklıdır.
Cut,Kesmek,I cut my finger.,Parmağımı kestim.
Dad,Baba (Samimi),My dad is at work.,Babam işte.
Daily,Günlük,Daily exercise is important.,Günlük egzersiz önemlidir.
Dance,Dans etmek,Can you dance salsa?,Salsa yapabilir misin?
Dangerous,Tehlikeli,It is dangerous to swim here.,Burada yüzmek tehlikelidir.
Dark,Karanlık/Koyu,It gets dark early in winter.,Kışın hava erken kararır.
Date,Tarih/Hurma,What is the date today?,Bugün tarih ne?
Daughter,Kız evlat,Her daughter is five years old.,Kızı beş yaşında.
Day,Gün,Have a nice day.,İyi günler.
Dead,Ölü,The battery is dead.,Pil ölü (bitmiş).
Deal,Anlaşma,It is a deal.,Anlaştık (Bu bir anlaşma).
Dear,Sevgili/Sayın,Dear Sir or Madam.,Sayın Bay veya Bayan.
Decide,Karar vermek,I cannot decide what to wear.,Ne giyeceğime karar veremiyorum.
Deep,Derin,The river is very deep.,Nehir çok derin.
Definitely,Kesinlikle,I will definitely come.,Kesinlikle geleceğim.
Degree,Derece,It is thirty degrees today.,Bugün otuz derece.
Delicious,Lezzetli,This cake is delicious.,Bu pasta lezzetli.
Dentist,Dişçi,I have an appointment with the dentist.,Dişçiyle randevum var.
Department,Bölüm/Departman,Shoe department.,Ayakkabı bölümü.
Describe,Tarif etmek,Can you describe the thief?,Hırsızı tarif edebilir misin?
Desert,Çöl,It is very hot in the desert.,Çölde hava çok sıcaktır.
Design,Tasarlamak/Tasarım,Who designed this building?,Bu binayı kim tasarladı?
Desk,Çalışma masası,Your book is on the desk.,Kitabın masanın üzerinde.
Detail,Detay,Tell me every detail.,Bana her detayı anlat.
Dictionary,Sözlük,Look it up in the dictionary.,Sözlükten bak.
Die,Ölmek,Plants die without water.,Bitkiler susuz ölür.
Difference,Fark,What is the difference?,Fark nedir?
Different,Farklı,I want something different.,Farklı bir şey istiyorum.
Difficult,Zor,The exam was very difficult.,Sınav çok zordu.
Digital,Dijital,I have a digital camera.,Dijital bir kameram var.
Dinner,Akşam yemeği,What is for dinner?,Akşam yemeğinde ne var?
Direct,Doğrudan/Yönetmek,Is there a direct flight?,Doğrudan uçuş var mı?
Direction,Yön,Which direction should we go?,Hangi yöne gitmeliyiz?
Dirty,Kirli,Your hands are dirty.,Ellerin kirli.
Discuss,Tartışmak/Konuşmak,We need to discuss this problem.,Bu sorunu tartışmamız lazım.
Dish,Tabak/Yemek,This is a traditional dish.,Bu geleneksel bir yemektir.
Do,Yapmak,Do your best.,Elinden gelenin en iyisini yap.
Doctor,Doktor,You should see a doctor.,Bir doktora görünmelisin.
Document,Belge/Doküman,Sign this document please.,Lütfen bu belgeyi imzala.
Dog,Köpek,I walk my dog every morning.,Her sabah köpeğimi gezdiririm.
Dollar,Dolar,It costs five dollars.,Fiyatı beş dolar.
Door,Kapı,Who is at the door?,Kapıda kim var?
Double,Çift/İki kat,I would like a double room.,Çift kişilik oda istiyorum.
Down,Aşağı,Put the gun down.,Silahı aşağı indir.
Download,İndirmek (Veri),Download the file.,Dosyayı indir.
Downstairs,Alt kat/Aşağısı,The kitchen is downstairs.,Mutfak alt katta.
Draw,Çizmek,She draws very well.,O çok iyi çizer.
Dream,Rüya/Hayal,I had a strange dream.,Tuhaf bir rüya gördüm.
Dress,Elbise/Giyinmek,She wore a red dress.,Kırmızı bir elbise giydi.
Drink,İçmek/İçecek,Can I have a drink?,Bir içecek alabilir miyim?
Drive,Sürmek,He drives a fast car.,Hızlı bir araba sürüyor.
Driver,Sürücü/Şoför,The bus driver was late.,Otobüs şoförü geç kaldı.
Drop,Düşürmek,Don't drop the glass.,Bardağı düşürme.
Dry,Kuru/Kurulamak,My throat is dry.,Boğazım kurudu.
During,Sırasında/Boyunca,Don't talk during the movie.,Film sırasında konuşma.
Each,Her biri,Each student has a book.,Her öğrencinin bir kitabı var.
Ear,Kulak,I have an earache.,Kulak ağrım var.
Early,Erken,I woke up early today.,Bugün erken uyandım.
Earn,Kazanmak (Para),He earns a lot of money.,O çok para kazanıyor.
Earth,Dünya/Toprak,The Earth goes around the Sun.,Dünya Güneş'in etrafında döner.
Easily,Kolayca,I won the game easily.,Oyunu kolayca kazandım.
East,Doğu,The sun rises in the east.,Güneş doğudan doğar.
Easy,Kolay,English is easy to learn.,İngilizce öğrenmesi kolaydır.
Eat,Yemek,Did you eat lunch?,Öğle yemeği yedin mi?
Education,Eğitim,Education is important for everyone.,Eğitim herkes için önemlidir.
Effect,Etki,The medicine had no effect.,İlacın hiçbir etkisi olmadı.
Egg,Yumurta,I like boiled eggs.,Haşlanmış yumurta severim.
Eight,Sekiz,See you at eight.,Sekizde görüşürüz.
Either,Ya o ya bu/İkisi de,You can take either road.,İki yoldan birini seçebilirsin.
Electric,Elektrikli,He bought an electric car.,Elektrikli bir araba aldı.
Elephant,Fil,Elephants never forget.,Filler asla unutmaz.
Elevator,Asansör,The elevator is broken.,Asansör bozuk.
Else,Başka,Do you want anything else?,Başka bir şey ister misin?
Email,E-posta,I sent you an email.,Sana bir e-posta gönderdim.
Empty,Boş,The glass is empty.,Bardak boş.
End,Son/Bitirmek,The end of the story.,Hikayenin sonu.
Enemy,Düşman,They are enemies.,Onlar düşman.
Energy,Enerji,I don't have enough energy.,Yeterli enerjim yok.
Engine,Motor,Start the engine.,Motoru çalıştır.
Engineer,Mühendis,He is a civil engineer.,O bir inşaat mühendisi.
Enjoy,Zevk almak/Tadını çıkarmak,Enjoy your meal.,Afiyet olsun (Yemeğinin tadını çıkar).
Enough,Yeterli,I don't have enough time.,Yeterli zamanım yok.
Enter,Girmek,Do not enter.,Girmeyiniz.
Entrance,Giriş,Where is the main entrance?,Ana giriş nerede?
Envelope,Zarf,Put the letter in the envelope.,Mektubu zarfa koy.
Environment,Çevre,We must protect the environment.,Çevreyi korumalıyız.
Equal,Eşit,All men are created equal.,Bütün insanlar eşit yaratılmıştır.
Especially,Özellikle,I like fruit especially apples.,Meyve severim özellikle elma.
Europe,Avrupa,I want to travel to Europe.,Avrupa'ya seyahat etmek istiyorum.
Even,Hatta/Bile,Even a child can do it.,Bunu bir çocuk bile yapabilir.
Evening,Akşam,Good evening.,İyi akşamlar.
Event,Olay/Etkinlik,This is a big event.,Bu büyük bir etkinlik.
Ever,Hiç (Hayatında),Have you ever been to London?,Hiç Londra'da bulundun mu?
Every,Her,I run every day.,Her gün koşarım.
Everyone,Herkes,Everyone likes him.,Herkes onu sever.
Everything,Her şey,Is everything okay?,Her şey yolunda mı?
Exactly,Kesinlikle/Tam olarak,That is exactly what I mean.,Tam olarak demek istediğim bu.
Exam,Sınav,I passed the exam.,Sınavı geçtim.
Example,Örnek,For example.,Örneğin.
Excellent,Mükemmel,Excellent work.,Mükemmel iş.
Except,Haricinde,Everyone is here except John.,John haricinde herkes burada.
Excited,Heyecanlı,I am so excited.,Çok heyecanlıyım.
Exercise,Egzersiz,Exercise is good for health.,Egzersiz sağlık için iyidir.
Expensive,Pahalı,It is too expensive for me.,Bu benim için fazla pahalı.
Experience,Deneyim/Tecrübe,Do you have any experience?,Hiç tecrüben var mı?
Explain,Açıklamak,Can you explain the rule?,Kuralı açıklayabilir misin?
Extra,Ekstra/Fazla,Do you have an extra pen?,Fazladan kalemin var mı?
Eye,Göz,She has blue eyes.,Mavi gözleri var.
Face,Yüz,Wash your face.,Yüzünü yıka.
Fact,Gerçek,It is a scientific fact.,Bu bilimsel bir gerçektir.
Fail,Başarısız olmak/Kalmak,He failed the test.,Testten kaldı.
Fall,Düşmek/Sonbahar,Leaves fall in autumn.,Sonbaharda yapraklar düşer.
False,Yanlış,True or false?,Doğru mu yanlış mı?
English,Turkish,EnSample,TrSample
Family,Aile,My family lives in London.,Ailem Londra'da yaşıyor.
Famous,Ünlü,He is a famous singer.,O ünlü bir şarkıcı.
Fan,Hayran/Pervane,I am a fan of this band.,Bu grubun hayranıyım.
Fantastic,Harika,The view was fantastic.,Manzara harikaydı.
Far,Uzak,Is the station far from here?,İstasyon buradan uzak mı?
Farm,Çiftlik,They live on a farm.,Bir çiftlikte yaşıyorlar.
Farmer,Çiftçi,The farmer grows corn.,Çiftçi mısır yetiştiriyor.
Fashion,Moda,She is interested in fashion.,O modayla ilgileniyor.
Fast,Hızlı,Don't drive so fast.,Bu kadar hızlı sürme.
Fat,Şişman/Yağ,You should eat less fat.,Daha az yağ yemelisin.
Father,Baba,My father is a teacher.,Babam bir öğretmen.
Favorite,Favori/En sevilen,What is your favorite color?,En sevdiğin renk nedir?
Fear,Korku,He has a fear of heights.,Yükseklik korkusu var.
February,Şubat,My birthday is in February.,Doğum günüm Şubatta.
Feed,Beslemek,Did you feed the dog?,Köpeği besledin mi?
Feel,Hissetmek,I don't feel well today.,Bugün iyi hissetmiyorum.
Feeling,His/Duygu,I have a good feeling about this.,Bununla ilgili iyi bir hissim var.
Festival,Festival,We went to a music festival.,Bir müzik festivaline gittik.
Few,Az (Sayılabilir),I have a few questions.,Az (birkaç) sorum var.
Field,Alan/Tarla,They are playing in the field.,Tarlada oynuyorlar.
Fight,Dövüşmek/Kavga,Don't fight with your brother.,Kardeşinle kavga etme.
Fill,Doldurmak,Fill the glass with water.,Bardağı suyla doldur.
Film,Film,We watched a horror film.,Bir korku filmi izledik.
Final,Son/Final,This is the final decision.,Bu son karar.
Finally,Sonunda,Finally we arrived home.,Sonunda eve vardık.
Find,Bulmak,I cannot find my keys.,Anahtarlarımı bulamıyorum.
Fine,İyi/Para Cezası,I am fine thank you.,İyiyim teşekkürler.
Finger,Parmak,I cut my finger.,Parmağımı kestim.
Finish,Bitirmek,Did you finish your work?,İşini bitirdin mi?
Fire,Ateş/Yangın,Don't play with fire.,Ateşle oynama.
First,İlk/Birinci,First turn left.,İlk önce sola dön.
Fish,Balık,We ate fish for dinner.,Akşam yemeğinde balık yedik.
Fit,Uymak/Formda,This shirt fits you well.,Bu gömlek sana iyi uyuyor.
Fix,Tamir etmek,Can you fix my computer?,Bilgisayarımı tamir edebilir misin?
Flat,Daire (Ev),I live in a small flat.,Küçük bir dairede yaşıyorum.
Flight,Uçuş,The flight was cancelled.,Uçuş iptal edildi.
Floor,Zemin/Kat,My room is on the second floor.,Odam ikinci katta.
Flower,Çiçek,He gave her a red flower.,Ona kırmızı bir çiçek verdi.
Fly,Uçmak/Sinek,Birds can fly.,Kuşlar uçabilir.
Fog,Sis,Be careful in the fog.,Siste dikkatli ol.
Follow,Takip etmek,Follow me please.,Lütfen beni takip et.
Food,Yiyecek,Indian food is spicy.,Hint yemeği baharatlıdır.
Foot,Ayak,My foot hurts.,Ayağım acıyor.
Football,Futbol,Let's play football.,Hadi futbol oynayalım.
For,İçin,This gift is for you.,Bu hediye senin için.
Force,Zorlamak/Güç,Don't force the door.,Kapıyı zorlama.
Foreign,Yabancı,Do you speak a foreign language?,Yabancı bir dil konuşuyor musun?
Forest,Orman,Animals live in the forest.,Hayvanlar ormanda yaşar.
Forget,Unutmak,Don't forget to call me.,Beni aramayı unutma.
Fork,Çatal,I need a knife and fork.,Bıçak ve çatala ihtiyacım var.
Form,Form/Biçim,Please fill out this form.,Lütfen bu formu doldurun.
Free,Özgür/Bedava,Are you free tonight?,Bu gece müsait misin?
Fresh,Taze,I bought fresh fruit.,Taze meyve aldım.
Fridge,Buzdolabı,The milk is in the fridge.,Süt buzdolabında.
Friend,Arkadaş,He is my best friend.,O benim en iyi arkadaşım.
Friendly,Arkadaş canlısı,The staff was very friendly.,Personel çok arkadaş canlısıydı.
From, -den/-dan,I am from Turkey.,Ben Türkiye'denim.
Front,Ön,Wait in front of the school.,Okulun önünde bekle.
Fruit,Meyve,Eat more fruit.,Daha fazla meyve ye.
Full,Dolu,The bus was full.,Otobüs doluydu.
Fun,Eğlence,Have fun at the party.,Partide iyi eğlenceler.
Funny,Komik,He tells funny jokes.,O komik şakalar yapar.
Furniture,Mobilya,We need new furniture.,Yeni mobilyaya ihtiyacımız var.
Future,Gelecek,Who knows the future?,Geleceği kim bilir?
Game,Oyun,We played a video game.,Video oyunu oynadık.
Garden,Bahçe,There are flowers in the garden.,Bahçede çiçekler var.
Gas,Gaz/Benzin,I need to get gas.,Benzin almam lazım.
Gate,Kapı (Büyük),The gate is locked.,Kapı kilitli.
General,Genel,In general I agree.,Genel olarak katılıyorum.
Geography,Coğrafya,I am good at geography.,Coğrafyada iyiyimdir.
Get,Almak/Varmak,Get ready for school.,Okul için hazırlan.
Ghost,Hayalet,Do you believe in ghosts?,Hayaletlere inanır mısın?
Gift,Hediye,It is a birthday gift.,Bu bir doğum günü hediyesi.
Girl,Kız,The girl is reading a book.,Kız kitap okuyor.
Girlfriend,Kız arkadaş,He loves his girlfriend.,Kız arkadaşını seviyor.
Give,Vermek,Give me the book please.,Kitabı bana ver lütfen.
Glad,Memnun,I am glad to hear that.,Bunu duyduğuma memnun oldum.
Glass,Cam/Bardak,Would you like a glass of water?,Bir bardak su ister misin?
Glasses,Gözlük,I can't see without my glasses.,Gözlüklerim olmadan göremem.
Glove,Eldiven,Wear gloves in winter.,Kışın eldiven giy.
Go,Gitmek,Let's go home.,Hadi eve gidelim.
